Date,Open,High,Low,Close,Adj Close,Volume
2004-01-26,49.09,49.299999,49.09,49.200001,34.465263,1000
2004-02-02,49.450001,49.799999,48.400002,49.799999,34.885571,12900
2004-02-09,49.93,50.849998,49.849998,50.200001,35.165771,53300
2004-02-16,50.549999,50.799999,49.650002,50.150002,35.130759999999995,12400
2004-02-23,50.0,50.689999,49.330002,50.599998,35.445972,27700
2004-03-01,50.700001,51.939999,50.700001,51.790001000000004,36.279590999999996,17300
2004-03-08,51.919998,51.93,49.619999,50.389998999999996,35.298874,26000
2004-03-15,50.5,50.509997999999996,49.360001000000004,49.990002000000004,35.018669,21400
2004-03-22,49.630001,50.150002,49.110001000000004,50.040001000000004,35.053699,16100
2004-03-29,50.299999,52.43,50.299999,52.290001000000004,36.629852,27700
2004-04-05,52.220001,52.220001,51.299999,51.419998,36.020409,16900
2004-04-12,51.400002,51.400002,49.34,50.360001000000004,35.277859,28900
2004-04-19,50.0,50.900002,49.400002,50.580002,35.431979999999996,21400
2004-04-26,50.75,50.919998,48.5,48.5,33.974911,24500
2004-05-03,48.540001000000004,49.639998999999996,47.400002,47.400002,33.204334,16900
2004-05-10,46.360001000000004,47.549999,46.23,47.220001,33.078251,15500
2004-05-17,46.560001,47.77,46.299999,47.43,33.225361,11900
2004-05-24,47.720001,49.580002,47.709998999999996,49.5,34.675411,27800
2004-05-31,49.5,49.700001,49.25,49.419998,34.619381,14400
2004-06-07,49.599998,50.290001000000004,49.599998,49.77,34.864571000000005,11300
2004-06-14,49.75,50.310001,49.139998999999996,50.310001,35.242828,13500
2004-06-21,50.200001,51.380001,50.200001,51.07,35.775242,18300
2004-06-28,51.549999,52.060001,51.360001000000004,51.599998,36.146496,44100
2004-07-05,51.439999,51.439999,50.52,50.580002,35.431979999999996,56400
2004-07-12,50.580002,50.98,50.240002000000004,50.43,35.326904,55000
2004-07-19,50.450001,51.209998999999996,49.32,49.439999,34.633389,32600
2004-07-26,49.439999,50.139998999999996,48.709998999999996,50.049999,35.060707,25100
2004-08-02,49.959998999999996,50.27,48.25,48.27,33.813782,29100
2004-08-09,48.5,49.110001000000004,48.150002,48.25,33.799778,21500
2004-08-16,48.419998,50.290001000000004,48.419998,50.290001000000004,35.228817,20900
2004-08-23,50.599998,50.790001000000004,50.150002,50.779999,35.572083,19000
2004-08-30,50.75,51.639998999999996,50.34,51.57,36.125488,30700
2004-09-06,51.950001,52.310001,51.849998,52.18,36.552799,30400
2004-09-13,52.400002,52.540001000000004,51.889998999999996,52.509997999999996,36.783958,49800
2004-09-20,52.349998,52.720001,51.709998999999996,51.919998,36.370670000000004,32000
2004-09-27,51.650002,53.27,51.279999,53.27,37.316357,26100
2004-10-04,53.689999,54.0,52.91,52.91,37.064175,33600
2004-10-11,52.93,53.200001,51.939999,52.43,36.727921,20900
2004-10-18,52.290001000000004,52.630001,51.48,51.93,36.377663,36800
2004-10-25,51.799999,53.560001,51.799999,53.23,37.288334000000006,38700
2004-11-01,53.32,55.220001,53.200001,55.07,38.577273999999996,79600
2004-11-08,55.040001000000004,56.549999,54.84,56.549999,39.614025,80700
2004-11-15,56.560001,57.0,55.810001,55.810001,39.095653999999996,74200
2004-11-22,55.950001,57.59,55.950001,57.5,40.279533,27000
2004-11-29,57.75,58.450001,57.060001,58.099998,40.699829,87100
2004-12-06,58.02,58.029999,56.59,57.34,40.167442,33800
2004-12-13,57.599998,58.75,57.41,58.349998,40.874962,41500
2004-12-20,58.450001,59.200001,58.110001000000004,59.09,41.393337,44800
2004-12-27,58.259997999999996,58.630001,57.419998,58.299999,40.839943,71800
2005-01-03,58.450001,58.560001,55.200001,55.200001,39.312359,115900
2005-01-10,55.220001,55.98,54.529999,55.68,39.654194,101000
2005-01-17,55.580002,56.34,55.25,55.310001,39.390682,26400
2005-01-24,55.389998999999996,55.779999,54.759997999999996,55.119999,39.255379,49300
2005-01-31,55.759997999999996,57.419998,55.759997999999996,57.41,40.886272,52200
2005-02-07,57.529999,57.66,56.599998,57.450001,40.914761,70100
2005-02-14,57.599998,58.049999,57.080002,57.259997999999996,40.77943,52900
2005-02-21,56.98,57.720001,56.189999,57.700001,41.092804,60000
2005-02-28,57.650002,58.84,57.060001,58.700001,41.804992999999996,72500
2005-03-07,58.720001,59.049999,57.099998,57.369999,40.857788,46100
2005-03-14,57.650002,58.150002,56.799999,57.130001,40.686871000000004,60600
2005-03-21,57.099998,57.52,56.0,56.419998,40.181213,29400
2005-03-28,56.400002,56.73,55.330002,56.139998999999996,39.987419,31700
2005-04-04,56.189999,56.900002,55.650002,56.18,40.015896000000005,29000
2005-04-11,56.200001,56.389998999999996,53.619999,53.98,38.448879,63700
2005-04-18,53.959998999999996,55.209998999999996,53.459998999999996,54.580002,38.87624,100100
2005-04-25,54.84,55.240002000000004,53.27,53.439999,38.064243,35600
2005-05-02,54.389998999999996,55.740002000000004,54.279999,55.57,39.581409,47100
2005-05-09,55.529999,55.959998999999996,53.959998999999996,54.310001,38.683918,32600
2005-05-16,54.25,56.77,54.25,56.669998,40.364906,76700
2005-05-23,56.880001,57.240002000000004,56.290001000000004,57.09,40.664066,52600
2005-05-30,57.130001,57.990002000000004,57.130001,57.580002,41.013092,40800
2005-06-06,57.630001,58.48,57.450001,58.150002,41.419078999999996,34500
2005-06-13,58.200001,59.959998999999996,58.16,59.84,42.622840999999994,50200
2005-06-20,59.75,59.860001000000004,58.169998,58.169998,41.433323,60900
2005-06-27,58.299999,59.799999,58.220001,59.59,42.444775,64400
2005-07-04,59.700001,61.200001,59.299999,61.200001,43.591541,48200
2005-07-11,61.349998,62.18,60.830002,61.32,43.677006,90000
2005-07-18,61.259997999999996,62.540001000000004,60.889998999999996,62.349998,44.41066,133200
2005-07-25,62.48,63.23,61.98,62.610001000000004,44.595844,83500
2005-08-01,63.09,63.48,61.0,61.220001,43.605774,115800
2005-08-08,61.43,61.59,60.5,60.990002000000004,43.441956,83700
