Date,Open,High,Low,Close,Adj Close,Volume
2009-11-23,75.260002,75.849998,75.260002,75.849998,46.147621,4400
2009-11-30,75.730003,76.0,75.089996,75.089996,45.685249,94600
2009-12-07,75.089996,75.400002,74.58000200000001,74.690002,45.441914000000004,27900
2009-12-14,74.83000200000001,75.129997,74.83000200000001,74.860001,45.545319,16000
2009-12-21,74.58000200000001,74.660004,73.519997,73.519997,44.730072,2900
2009-12-28,73.440002,74.220001,73.25,74.220001,45.457958000000005,9800
2010-01-04,74.209999,75.089996,73.940002,74.58000200000001,45.678455,34000
2010-01-11,74.599998,75.760002,74.459999,75.150002,46.027576,11600
2010-01-18,75.150002,76.089996,74.230003,75.059998,45.972443,113000
2010-01-25,75.089996,75.279999,74.400002,74.410004,45.574352000000005,28200
2010-02-01,74.400002,74.68,73.889999,74.33000200000001,45.724537,13400
2010-02-08,74.660004,74.660004,73.32,73.389999,45.146267,15200
2010-02-15,73.220001,73.58000200000001,72.66999799999999,73.129997,44.986323999999996,51100
2010-02-22,73.129997,74.940002,73.129997,74.940002,46.099777,17800
2010-03-01,74.910004,74.910004,74.089996,74.57,46.073387,11500
2010-03-08,74.089996,75.0,73.989998,75.0,46.339073,11400
2010-03-15,75.089996,76.019997,74.860001,75.790001,46.827164,10100
2010-03-22,75.879997,75.910004,73.989998,74.389999,45.962185,16800
2010-03-29,74.620003,74.699997,74.059998,74.629997,46.11047,10400
2010-04-05,73.900002,74.91999799999999,73.449997,74.860001,46.498740999999995,13700
2010-04-12,74.900002,76.050003,74.900002,75.610001,46.964615,31600
2010-04-19,75.769997,76.489998,75.5,75.989998,47.200626,22300
2010-04-26,76.349998,76.559998,75.589996,76.559998,47.554691,6900
2010-05-03,76.559998,77.610001,75.730003,75.730003,47.25465,43800
2010-05-10,75.309998,76.91999799999999,75.309998,76.300003,47.610313,38100
2010-05-17,76.099998,78.0,75.779999,77.16999799999999,48.153194,32200
2010-05-24,76.949997,77.360001,74.589996,74.970001,46.780415000000005,59700
2010-05-31,76.0,76.0,74.400002,75.160004,47.12212,35600
2010-06-07,75.639999,76.129997,74.33000200000001,75.120003,47.097027000000004,18200
2010-06-14,74.709999,76.059998,74.559998,75.91999799999999,47.598606,29900
2010-06-21,75.57,76.889999,75.5,76.620003,48.037479,34200
2010-06-28,77.150002,78.339996,76.849998,77.510002,48.595459000000005,30300
2010-07-05,77.449997,78.050003,76.910004,77.25,48.64999,59600
2010-07-12,77.269997,78.849998,77.07,78.410004,49.380524,37000
2010-07-19,78.760002,79.629997,78.389999,78.68,49.550564,19500
2010-07-26,78.25,79.540001,78.040001,79.510002,50.073277000000004,53800
2010-08-02,79.209999,79.860001,78.709999,79.540001,50.304759999999995,63700
2010-08-09,79.5,80.529999,79.099998,80.449997,50.880276,91600
2010-08-16,81.57,84.209999,81.190002,82.599998,52.240063,66100
2010-08-23,82.32,83.849998,81.129997,81.82,51.746716,58000
